TEAM_ABBR,conference,playoff_seed,title_rank_conf,title_rank_overall,title_prob,seed_vs_title_gap_conf,abs_gap_conf
CHA,East,8,5.0,11.0,0.0037,3.0,3.0
NYK,East,3,1.0,2.0,0.1533,2.0,2.0
DET,East,1,3.0,5.0,0.1183,-2.0,2.0
GSW,West,8,6.0,10.0,0.0038,2.0,2.0
TOR,East,5,7.0,15.0,0.0006,-2.0,2.0
PHI,East,6,8.0,16.0,0.0,-2.0,2.0
LAL,West,6,7.0,12.0,0.0034,-1.0,1.0
MIA,East,7,6.0,13.0,0.0023,1.0,1.0
PHX,West,7,8.0,14.0,0.0013,-1.0,1.0
OKC,West,1,1.0,1.0,0.3324,0.0,0.0
SAS,West,2,2.0,3.0,0.1448,0.0,0.0
BOS,East,2,2.0,4.0,0.1203,0.0,0.0
CLE,East,4,4.0,6.0,0.041,0.0,0.0
MIN,West,3,3.0,7.0,0.0364,0.0,0.0
DEN,West,4,4.0,8.0,0.0215,0.0,0.0
HOU,West,5,5.0,9.0,0.0169,0.0,0.0
