season,conference,playoff_seed,TEAM_ABBR,Record,seed_assignment_prob,make_second_round_prob,make_conf_finals_prob,make_finals_prob,title_prob
2025-26,East,2,BOS,39-20,1.0,0.7858,0.5379,0.3891,0.2948
2025-26,West,3,HOU,37-22,1.0,0.8328,0.5116,0.3307,0.1382
2025-26,East,3,NYK,38-22,1.0,0.8589,0.3628,0.2146,0.1334
2025-26,West,1,OKC,46-15,1.0,0.8077,0.6725,0.3539,0.1323
2025-26,East,1,DET,44-14,1.0,0.7069,0.4539,0.1938,0.1205
2025-26,East,5,TOR,35-25,1.0,0.6448,0.298,0.1005,0.0565
2025-26,West,7,PHX,34-26,0.5425,0.5583,0.2619,0.148,0.0457
2025-26,West,2,SAS,43-16,1.0,0.4417,0.1878,0.0929,0.0268
2025-26,East,8,ORL,31-27,0.33365,0.2931,0.1273,0.0353,0.0162
2025-26,East,7,MIA,32-29,0.69915,0.2142,0.0804,0.0346,0.0149
2025-26,East,4,CLE,37-24,1.0,0.3552,0.1208,0.028,0.012
2025-26,West,5,MIN,37-23,1.0,0.5596,0.1324,0.0266,0.0027
2025-26,West,8,GSW,31-29,0.46465,0.1923,0.1075,0.022,0.0025
2025-26,West,6,LAL,35-24,1.0,0.1672,0.0387,0.0131,0.0021
2025-26,West,4,DEN,37-23,1.0,0.4404,0.0876,0.0128,0.0007
2025-26,East,6,PHI,33-26,1.0,0.1411,0.0189,0.0041,0.0007
