,rs_vs_top_teams_win_pct,rs_fta,rs_ft_rate,rs_off_rating,rs_win_pct,rs_ftm,rs_net_rating,rs_efg_pct,rs_ppg,rs_fg3m,rs_ts_pct,rs_fgm,rs_fg3a,rs_three_pt_rate,rs_close_game_win_pct
rs_vs_top_teams_win_pct,1.0,0.016561434185868824,0.03524287073718769,0.3176871821295271,0.6784121885542507,0.008725757848311737,0.6183889226263053,0.3147850335406163,0.22683242751028107,0.17036929402224837,0.3083897634300254,0.23962717745380635,0.13418726439578285,0.13082553641966632,0.2282110460359184
rs_fta,0.016561434185868824,1.0,0.9248587011227462,0.06545510540034258,0.007621484214745106,0.9019889877349166,0.0320721965976055,0.1514480891206678,0.01016407613875019,0.16506035604179986,0.04364759530276265,0.22218092518877727,0.12721363157464285,0.10084592933469241,0.005805523057585186
rs_ft_rate,0.03524287073718769,0.9248587011227462,1.0,0.2846217821374824,0.01918690768084016,0.8057322594333722,0.02526940176621017,0.31707366344722404,0.3225876948782543,0.4103261972562456,0.20174350614020053,0.5091128560372312,0.38816417459907193,0.33203136463489713,0.022962391358771563
rs_off_rating,0.3176871821295271,0.06545510540034258,0.2846217821374824,1.0,0.3346264993712275,0.1139805040330022,0.39186764013456865,0.9144801084000088,0.9101475602433444,0.8044023522911069,0.9209139469872711,0.838391126729152,0.7612515940926962,0.7420241591034148,0.012334293987203197
rs_win_pct,0.6784121885542507,0.007621484214745106,0.01918690768084016,0.3346264993712275,1.0,0.027958106667258033,0.914831691695154,0.3312060024597007,0.18306769152079602,0.13317356461129312,0.3433506084285297,0.18411296655011086,0.07512163527646984,0.08531017374615507,0.3234006220144347
rs_ftm,0.008725757848311737,0.9019889877349166,0.8057322594333722,0.1139805040330022,0.027958106667258033,1.0,0.007750938553556617,0.022380844540066277,0.14236587520102145,0.052873890404035784,0.1387613626147036,0.09487266097080876,0.029986030531093784,0.010237735683146681,0.016542884171198764
rs_net_rating,0.6183889226263053,0.0320721965976055,0.02526940176621017,0.39186764013456865,0.914831691695154,0.007750938553556617,1.0,0.36684727905088776,0.23710376374792694,0.20456854916038192,0.3724051409528427,0.22885103407271778,0.14927865000124355,0.15491833896881085,0.0517823589357391
rs_efg_pct,0.3147850335406163,0.1514480891206678,0.31707366344722404,0.9144801084000088,0.3312060024597007,0.022380844540066277,0.36684727905088776,1.0,0.8687900667815146,0.8121084121429198,0.9807536062035772,0.8182389186749172,0.758712634561515,0.7611815426485493,0.02602304165868541
rs_ppg,0.22683242751028107,0.01016407613875019,0.3225876948782543,0.9101475602433444,0.18306769152079602,0.14236587520102145,0.23710376374792694,0.8687900667815146,1.0,0.8597194017668034,0.8592511860387151,0.9298125457884954,0.8448723944212214,0.8016262504600967,0.03269030881469519
rs_fg3m,0.17036929402224837,0.16506035604179986,0.4103261972562456,0.8044023522911069,0.13317356461129312,0.052873890404035784,0.20456854916038192,0.8121084121429198,0.8597194017668034,1.0,0.7748039351551362,0.7022230564723666,0.9882931715142904,0.9827417383261565,0.08432762561286845
rs_ts_pct,0.3083897634300254,0.04364759530276265,0.20174350614020053,0.9209139469872711,0.3433506084285297,0.1387613626147036,0.3724051409528427,0.9807536062035772,0.8592511860387151,0.7748039351551362,1.0,0.7716980636339529,0.7200056861557517,0.7285894033182355,0.026433381709792505
rs_fgm,0.23962717745380635,0.22218092518877727,0.5091128560372312,0.838391126729152,0.18411296655011086,0.09487266097080876,0.22885103407271778,0.8182389186749172,0.9298125457884954,0.7022230564723666,0.7716980636339529,1.0,0.6792988358994738,0.6113075852611034,0.007394901551060208
rs_fg3a,0.13418726439578285,0.12721363157464285,0.38816417459907193,0.7612515940926962,0.07512163527646984,0.029986030531093784,0.14927865000124355,0.758712634561515,0.8448723944212214,0.9882931715142904,0.7200056861557517,0.6792988358994738,1.0,0.9919192376946302,0.10395692511131073
rs_three_pt_rate,0.13082553641966632,0.10084592933469241,0.33203136463489713,0.7420241591034148,0.08531017374615507,0.010237735683146681,0.15491833896881085,0.7611815426485493,0.8016262504600967,0.9827417383261565,0.7285894033182355,0.6113075852611034,0.9919192376946302,1.0,0.10171276841425103
rs_close_game_win_pct,0.2282110460359184,0.005805523057585186,0.022962391358771563,0.012334293987203197,0.3234006220144347,0.016542884171198764,0.0517823589357391,0.02602304165868541,0.03269030881469519,0.08432762561286845,0.026433381709792505,0.007394901551060208,0.10395692511131073,0.10171276841425103,1.0
